word	sentence#	tag	pos	lemma
degi	16	O	nkeþ	dagur
til	16	O	ae	til
greiðsludags	16	O	nkee	greiðsludagur
.	16	O	.	.

Til	17	O	ae	til
þrautavara	17	O	nkee	þrautavari
er	17	O	sfg3en	vera
þess	17	O	fphee	það
krafist	17	O	sþmhen	krefja
að	17	O	c	að
stefndi	17	O	lkenvf	stefndur
greiði	17	O	svg3en	greiða
stefnanda	17	O	nkeþ	stefnandi
4.680.078	17	B-Money	ta	4.680.078
krónur	17	I-Money	nvfo	króna
ásamt	17	O	aþ	ásamt
4,5%	17	B-Percent	tp	4,5%
ársvöxtum	17	O	nkfþ	ársvextir
af	17	O	aþ	af
3.927.618	17	B-Money	ta	3.927.618
krónum	17	I-Money	nvfþ	króna
frá	17	O	aþ	frá
19.	17	B-Date	ta	19.
janúar	17	I-Date	nkeþ	janúar
2001	17	I-Date	ta	2001
til	17	O	ae	til
1.	17	B-Date	ta	1.
maí	17	I-Date	nkee	maí
2001	17	I-Date	ta	2001
en	17	O	c	en
af	17	O	aþ	af
4.680.078	17	B-Money	ta	4.680.078
krónum	17	I-Money	nvfþ	króna
frá	17	O	aþ	frá
þeim	17	O	fakeþ	sá
degi	17	O	nkeþ	dagur
til	17	O	ae	til
16.	17	B-Date	ta	16.
janúar	17	I-Date	nkee	janúar
2007	17	I-Date	ta	2007
en	17	O	c	en
með	17	O	aþ	með
dráttarvöxtum	17	O	nkfþ	dráttarvextir
skv.	17	O	as	skv.
9.	17	O	ta	9.
gr.	17	O	as	gr.
laga	17	O	nhfe	lag
nr.	17	O	as	nr.
38/2001	17	O	ta	38/2001
um	17	O	ao	um
vexti	17	O	nkfo	vöxtur
og	17	O	c	og
verðtryggingu	17	O	nveo	verðtrygging
frá	17	O	aþ	frá
þeim	17	O	fakeþ	sá
degi	17	O	nkeþ	dagur
til	17	O	ae	til
greiðsludags	17	O	nkee	greiðsludagur
.	17	O	.	.

Til	18	O	aa	til
enn	18	O	aa	enn
frekari	18	O	lkeevm	frekur
þrautavara	18	O	nkee	þrautavari
er	18	O	sfg3en	vera
þess	18	O	fphee	það
krafist	18	O	sþmhen	krefja
að	18	O	c	að
stefndi	18	O	lkenvf	stefndur
greiði	18	O	svg3en	greiða
stefnanda	18	O	nkeþ	stefnandi
2.061.666	18	B-Money	ta	2.061.666
krónur	18	I-Money	nvfo	króna
ásamt	18	O	aþ	ásamt
4,5%	18	B-Percent	tp	4,5%
ársvöxtum	18	O	nkfþ	ársvextir
af	18	O	aþ	af
1.309.206	18	B-Money	ta	1.309.206
krónum	18	I-Money	nvfþ	króna
frá	18	O	aþ	frá
19.	18	B-Date	ta	19.
janúar	18	I-Date	nkeþ	janúar
2001	18	I-Date	ta	2001
til	18	O	ae	til
1.	18	B-Date	ta	1.
maí	18	I-Date	nkee	maí
2001	18	I-Date	ta	2001
en	18	O	c	en
af	18	O	aþ	af
2.061.666	18	B-Money	ta	2.061.666
krónum	18	I-Money	nvfþ	króna
frá	18	O	aþ	frá
þeim	18	O	fakeþ	sá
degi	18	O	nkeþ	dagur
til	18	O	ae	til
16.	18	B-Date	ta	16.
janúar	18	I-Date	nkee	janúar
2007	18	I-Date	ta	2007
en	18	O	c	en
með	18	O	aþ	með
dráttarvöxtum	18	O	nkfþ	dráttarvextir
skv.	18	O	as	skv.
9.	18	O	ta	9.
gr.	18	O	as	gr.
laga	18	O	nhfe	lag
nr.	18	O	as	nr.
38/2001	18	O	ta	38/2001
um	18	O	ao	um
vexti	18	O	nkfo	vöxtur
og	18	O	c	og
verðtryggingu	18	O	nveo	verðtrygging
frá	18	O	aþ	frá
þeim	18	O	fakeþ	sá
degi	18	O	nkeþ	dagur
til	18	O	ae	til
greiðsludags	18	O	nkee	greiðsludagur
.	18	O	.	.

Í	19	O	aþ	í
öllum	19	O	fohfþ	allur
tilvikum	19	O	nhfþ	tilvik
er	19	O	sfg3en	vera
krafist	19	O	sþmhen	krefja
málskostnaðar	19	O	nkee	málskostnaður
eins	19	O	aa	eins
og	19	O	c	og
að	19	O	c	að
málið	19	O	nheng	mál
væri	19	O	svg3eþ	vera
ekki	19	O	aa	ekki
gjafsóknarmál	19	O	nhen	gjafsóknarmál
.	19	O	.	.

Af	20	O	aþ	af
hálfu	20	O	nveþ	hálfa
stefnda	20	O	lkeevf	stefndur
er	20	O	sfg3en	vera
þess	20	O	fphee	það
aðallega	20	O	aa	aðallega
krafist	20	O	sþmhen	krefja
að	20	O	c	að
hann	20	O	fpken	hann
verði	20	O	svg3en	verða
sýknaður	20	O	sþgken	sýkna
af	20	O	aþ	af
öllum	20	O	fovfþ	allur
dómkröfum	20	O	nvfþ	dómkrafa
stefnanda	20	O	nkee	stefnandi
.	20	O	.	.

Til	21	O	ae	til
vara	21	O	nkee	vari
er	21	O	sfg3en	vera
þess	21	O	fphee	það
krafist	21	O	sþmhen	krefja
að	21	O	c	að
dómkröfur	21	O	nvfn	dómkrafa
stefnanda	21	O	nkee	stefnandi
verði	21	O	svg3fn	verða
stórlega	21	O	aa	stórlega
lækkaðar	21	O	sþgvfn	lækka
.	21	O	.	.

Í	22	O	aþ	í
báðum	22	O	fohfþ	báðir
tilvikum	22	O	nhfþ	tilvik
er	22	O	sfg3en	vera
gerð	22	O	sþgven	gera
krafa	22	O	nven	krafa
um	22	O	ao	um
málskostnað	22	O	nkeo	málskostnaður
.	22	O	.	.

Málavextir	23	O	nkfn	málavextir

Stefnandi	24	O	nken	stefnandi
var	24	O	sfg3eþ	vera
nemandi	24	O	nken	nemandi
í	24	O	aþ	í
Listaháskóla	24	B-Organization	nkeþ-s	Listaháskóli
Íslands	24	I-Organization	nhee-s	Ísland
á	24	O	aþ	á
hönnunarsviði	24	O	nheþ	hönnunarsvið
veturinn	24	O	nkeog	vetur
2000	24	B-Date	ta	2000
til	24	I-Date	ae	til
2001	24	I-Date	ta	2001
.	24	O	.	.

Vikuna	25	O	nveog	vika
15.	25	B-Date	ta	15.
til	25	I-Date	ae	til
19.	25	I-Date	ta	19.
janúar	25	I-Date	nkee	janúar
2001	25	I-Date	ta	2001
var	25	O	sfg3eþ	vera
hún	25	O	fpven	hún
að	25	O	cn	að
vinna	25	O	sng	vinna
við	25	O	ao	við
að	25	O	cn	að
móta	25	O	sng	móta
,	25	O	,	,
smíða	25	O	sng	smíða
og	25	O	c	og
steypa	25	O	sng	steypa
grip	25	O	nheo	grip
úr	25	O	aþ	úr
plasti	25	O	nheþ	plast
undir	25	O	aþ	undir
handleiðslu	25	O	nveþ	handleiðsla
kennara	25	O	nkee	kennari
.	25	O	.	.

Smíði	26	O	nven	smíði
þessi	26	O	faven	þessi
var	26	O	sfg3eþ	vera
hluti	26	O	nken	hluti
af	26	O	aþ	af
náminu	26	O	nheþg	nám
.	26	O	.	.

Skólinn	27	O	nkeng	skóli
lét	27	O	sfg3eþ	láta
henni	27	O	fpveþ	hún
í	27	O	ao	í
té	27	O	nheo	té
öll	27	O	fohfo	allur
efni	27	O	nhfo	efni
og	27	O	c	og
tæki	27	O	nhfo	tæki
til	27	O	ae	til
smíðinnar	27	O	nveeg	smíði
.	27	O	.	.

Við	28	O	ao	við
smíðina	28	O	nveog	smíði
var	28	O	sfg3eþ	vera
notað	28	O	sþghen	nota
tveggja	28	O	tfkfe	tveir
þátta	28	O	nkfe	þáttur
efni	28	O	nhen	efni
sem	28	O	ct	sem
kennarinn	28	O	nkeng	kennari
hafði	28	O	sfg3eþ	hafa
keypt	28	O	ssg	kaupa
,	28	O	,	,
Clear	28	O	e	Clear
casting	28	O	e	casting
resin	28	O	e	resin
prepolymer	28	O	e	prepolymer
og	28	O	c	og
Clear	28	O	e	Clear
casting	28	O	e	casting
resin	28	O	e	resin
curative	28	O	e	curative
og	28	O	c	og
var	28	O	sfg3eþ	vera
efnunum	28	O	nhfþg	efni
blandað	28	O	sþghen	blanda
saman	28	O	aa	saman
.	28	O	.	.

Af	29	O	aþ	af
hálfu	29	O	nveþ	hálfa
stefnanda	29	O	nkee	stefnandi
er	29	O	sfg3en	vera
því	29	O	fpheþ	það
haldið	29	O	sþghen	halda
fram	29	O	aa	fram
að	29	O	c	að
engar	29	O	fovfn	enginn
aðvaranir	29	O	nvfn	aðvörun
hafi	29	O	svg3fn	hafa
verið	29	O	ssg	vera
nefndar	29	O	sþgvfn	nefna
um	29	O	ao	um
að	29	O	c	að
efnin	29	O	nhfng	efni
væru	29	O	svg3fþ	vera
eða	29	O	c	eða
gætu	29	O	svg3fþ	geta
verið	29	O	ssg	vera
varasöm	29	O	lhfnsf	varasamur
eða	29	O	c	eða
hættuleg	29	O	lhfnsf	hættulegur
og	29	O	c	og
hafi	29	O	svg3fn	hafa
nemendur	29	O	nkfn	nemandi
meðhöndlað	29	O	ssg	meðhöndla
efnin	29	O	nhfog	efni
án	29	O	ae	án
sérstakra	29	O	lvfesf	sérstakur
varúðarráðstafana	29	O	nvfe	varúðarráðstöfun
.	29	O	.	.

Af	30	O	aþ	af
hálfu	30	O	nveþ	hálfa
stefnda	30	O	lkeevf	stefndur
er	30	O	sfg3en	vera
því	30	O	fpheþ	það
haldið	30	O	sþghen	halda
fram	30	O	aa	fram
að	30	O	c	að
umræddur	30	O	lkensf	umræddur
kennari	30	O	nken	kennari
,	30	O	,	,
Helgi	30	B-Person	nken-s	Helgi
Skaftason	30	I-Person	nken-s	Skaftason
,	30	O	,	,
hafi	30	O	svg3en	hafa
varað	30	O	ssg	vara
nemendur	30	O	nkfo	nemandi
sérstaklega	30	O	aa	sérstaklega
við	30	O	aþ	við
hættueiginleikum	30	O	nkfþ	hættueiginleiki
umræddra	30	O	lhfesf	umræddur
efna	30	O	nhfe	efni
og	30	O	c	og
leiðbeint	30	O	ssg	leiðbeina
þeim	30	O	fpkfþ	hann
um	30	O	ao	um
meðferð	30	O	nveo	meðferð
og	30	O	c	og
notkun	30	O	nveo	notkun
þeirra	30	O	fphfe	það
,	30	O	,	,
þ.m.t.	30	O	as	þ.m.t.
um	30	O	ao	um
blöndun	30	O	nveo	blöndun
þeirra	30	O	fphfe	það
.	30	O	.	.

Hann	31	O	fpken	hann
hafi	31	O	svg3en	hafa
leiðbeint	31	O	ssg	leiðbeina
hverjum	31	O	fokeþ	hver
og	31	O	c	og
einum	31	O	fokeþ	einn
nemanda	31	O	nkeþ	nemandi
sérstaklega	31	O	aa	sérstaklega
og	31	O	c	og
leiðbeiningarskylda	31	O	nven	leiðbeiningarskylda
hans	31	O	fpkee	hann
hafi	31	O	svg3en	hafa
verið	31	O	ssg	vera
í	31	O	aþ	í
fullu	31	O	lheþsf	fullur
samræmi	31	O	nheþ	samræmi
við	31	O	ao	við
það	31	O	faheo	sá
sem	31	O	ct	sem
tíðkast	31	O	ssm	tíðka
hefði	31	O	svg3eþ	hafa
á	31	O	aþ	á
fyrri	31	O	lhfþvm	fyrri
námskeiðum	31	O	nhfþ	námskeið
hjá	31	O	aþ	hjá
honum	31	O	fpkeþ	hann
.	31	O	.	.

Nokkrum	32	O	fokfþ	nokkur
dögum	32	O	nkfþ	dagur
eftir	32	O	ao	eftir
að	32	O	c	að
áfanganum	32	O	nkeþg	áfangi
lauk	32	O	sfg3eþ	ljúka
hafi	32	O	svg3fn	hafa
nokkrir	32	O	fokfn	nokkur
nemendur	32	O	nkfn	nemandi
fengið	32	O	ssg	fá
ofnæmisviðbrögð	32	O	nhfo	ofnæmisviðbrögð
og	32	O	c	og
leitað	32	O	ssg	leita
læknishjálpar	32	O	nvee	læknishjálp
.	32	O	.	.

Stefnandi	33	O	nken	stefnandi
hafi	33	O	svg3en	hafa
veikst	33	O	ssm	veikja
illa	33	O	aa	illa
og	33	O	c	og
hafi	33	O	svg3en	hafa
verið	33	O	ssg	vera
undir	33	O	aþ	undir
læknishendi	33	O	nveþ	læknishönd
síðan	33	O	aa	síðan
.	33	O	.	.

Þegar	34	O	c	þegar
stefnandi	34	O	nken	stefnandi
varð	34	O	sfg3eþ	verða
þess	34	O	fphee	það
áskynja	34	O	lkenof	áskynja
hvers	34	O	fohee	hver
kyns	34	O	nhee	kyn
var	34	O	sfg3eþ	vera
hafi	34	O	svg3en	hafa
hún	34	O	fpven	hún
látið	34	O	ssg	láta
skólayfirvöld	34	O	nhfo	skólayfirvöld
vita	34	O	sng	vita
til	34	O	ae	til
þess	34	O	fphee	það
að	34	O	c	að
hægt	34	O	lhensf	hægur
væri	34	O	svg3eþ	vera
að	34	O	cn	að
grípa	34	O	sng	grípa
til	34	O	ae	til
viðeigandi	34	O	lvfeof	viðeigandi
ráðstafana	34	O	nvfe	ráðstöfun
.	34	O	.	.

Við	35	O	ao	við
nánari	35	O	lveovm	náinn
rannsókn	35	O	nveo	rannsókn
hafi	35	O	svg3en	hafa
komið	35	O	ssg	koma
í	35	O	ao	í
ljós	35	O	nheo	ljós
að	35	O	c	að
efnin	35	O	nhfng	efni
sem	35	O	ct	sem
notuð	35	O	sþghfn	nota
voru	35	O	sfg3fþ	vera
hafi	35	O	svg3fn	hafa
innihaldið	35	O	ssg	innihalda
mjög	35	O	aa	mjög
hættulegt	35	O	lheosf	hættulegur
eitur	35	O	nheo	eitur
(	35	O	(	(
dicyclohexylmethane-4	35	O	e	dicyclohexylmethane-4
,	35	O	,	,
4	35	O	ta	4
'	35	O	'	'
-diisocyanate	35	O	e	-diisocyanate
)	35	O	)	)
sem	35	O	ct	sem
geti	35	O	svg3en	geta
valdið	35	O	ssg	valda
ofnæmi	35	O	nheþ	ofnæmi
,	35	O	,	,
ertingu	35	O	nveþ	erting
og	35	O	c	og
bruna	35	O	nkeþ	bruni
á	35	O	aþ	á
húð	35	O	nveþ	húð
.	35	O	.	.

Einnig	36	O	aa	einnig
geti	36	O	svg3en	geta
efnið	36	O	nheng	efni
valdið	36	O	ssg	valda
ertingu	36	O	nveþ	erting
og	36	O	c	og
ofnæmi	36	O	nheþ	ofnæmi
(	36	O	(	(
astma	36	O	nheþ	astma
)	36	O	)	)
berist	36	O	svm3en	bera
það	36	O	fphen	það
í	36	O	ao	í
lungun	36	O	nhfog	lunga
.	36	O	.	.

Áhrif	37	O	nhfn	áhrif
þessarar	37	O	favee	þessi
eitrunar	37	O	nvee	eitrun
geti	37	O	svg3fn	geta
verið	37	O	ssg	vera
óafturkræf	37	O	lhfnsf	óafturkræfur
.	37	O	.	.

Afleiðingar	38	O	nvfn	afleiðing
af	38	O	aþ	af
notkun	38	O	nveþ	notkun
efnisins	38	O	nheeg	efni
fyrir	38	O	ao	fyrir
stefnanda	38	O	nkeo	stefnandi
hafi	38	O	svg3fn	hafa
verið	38	O	ssg	vera
heiftarleg	38	O	lhfnsf	heiftarlegur
ofnæmisviðbrögð	38	O	nhfn	ofnæmisviðbrögð
sem	38	O	ct	sem
stefnandi	38	O	nken	stefnandi
telur	38	O	sfg3en	telja
viðvarandi	38	O	lhfoof	viðvarandi
og	38	O	c	og
þurfi	38	O	svg3en	þurfa
hún	38	O	fpven	hún
enn	38	O	aa	enn
á	38	O	aþ	á
læknismeðferð	38	O	nveþ	læknismeðferð
að	38	O	cn	að
halda	38	O	sng	halda
vegna	38	O	ae	vegna
þessa	38	O	fahee	þessi
.	38	O	.	.

Stefnandi	39	O	nken	stefnandi
hafi	39	O	svg3en	hafa
verið	39	O	ssg	vera
í	39	O	aþ	í
Listaháskóla	39	B-Organization	nkeþ-s	Listaháskóli
Íslands	39	I-Organization	nhee-s	Ísland
,	39	O	,	,
hönnunarsviði	39	O	nheþ	hönnunarsvið
,	39	O	,	,
sem	39	O	ct	sem
upphafi	39	O	nheþ	upphaf
að	39	O	aþ	að
námi	39	O	nheþ	nám
í	39	O	aþ	í
arkitektúr	39	O	nkeþ	arkitektúr
og	39	O	c	og
hafi	39	O	svg3en	hafa
hún	39	O	fpven	hún
lokið	39	O	ssg	ljúka
því	39	O	faheþ	sá
námi	39	O	nheþ	nám
frá	39	O	aþ	frá
Arkitektaakademíunni	39	B-Organization	nveþgs	Arkitektaakademía
í	39	O	aþ	í
Kaupmannahöfn	39	B-Location	nveþ-s	Kaupmannahöfn
.	39	O	.	.

Því	40	O	fpheþ	það
er	40	O	sfg3en	vera
haldið	40	O	sþghen	halda
fram	40	O	aa	fram
að	40	O	c	að
líkamlegt	40	O	lhensf	líkamlegur
ástand	40	O	nhen	ástand
stefnanda	40	O	nkee	stefnandi
í	40	O	ao	í
kjölfar	40	O	nheo	kjölfar
sýkingarinnar	40	O	nveeg	sýking
muni	40	O	svg3en	munu
há	40	O	sng	há
henni	40	O	fpveþ	hún
í	40	O	aþ	í
framtíðinni	40	O	nveþg	framtíð
og	40	O	c	og
muni	40	O	svg3en	munu
skerða	40	O	sng	skerða
hæfi	40	O	nheo	hæfi
hennar	40	O	fpvee	hún
til	40	O	ae	til
tekjuöflunar	40	O	nvee	tekjuöflun
.	40	O	.	.

Að	41	O	aþ	að
tilhlutan	41	O	nveþ	tilhlutan
stefnanda	41	O	nkee	stefnandi
,	41	O	,	,
en	41	O	c	en
án	41	O	ae	án
þess	41	O	fphee	það
að	41	O	c	að
stefndi	41	O	lkenvf	stefndur
kæmi	41	O	svg3eþ	koma
að	41	O	aþ	að
því	41	O	faheþ	sá
verki	41	O	nheþ	verk
,	41	O	,	,
var	41	O	sfg3eþ	vera
örorka	41	O	nven	örorka
stefnanda	41	O	nkee	stefnandi
metin	41	O	sþgven	meta
af	41	O	aþ	af
Birni	41	B-Person	nkeþ-s	Björn
Daníelssyni	41	I-Person	nkeþ-s	Daníelsson
lögfræðingi	41	O	nkeþ	lögfræðingur
og	41	O	c	og
Davíð	41	B-Person	nkeþ-s	Davíð
Gíslasyni	41	I-Person	nkeþ-s	Gíslason
lækni	41	O	nkeþ	læknir
,	41	O	,	,
sérfræðingi	41	O	nkeþ	sérfræðingur
í	41	O	aþ	í
ofnæmissjúkdómum	41	O	nkfþ	ofnæmissjúkdómur
og	41	O	c	og
lyflækningum	41	O	nvfþ	lyflækningar
.	41	O	.	.

Samkvæmt	42	O	aþ	samkvæmt
matsgerð	42	O	nveþ	matsgerð
þeirra	42	O	fpkfe	hann
,	42	O	,	,
dagsettri	42	O	lveþsf	dagsettur
28.	42	B-Date	ta	28.
desember	42	I-Date	nkeo	desember
2004	42	I-Date	ta	2004
,	42	O	,	,
telji	42	O	svg3fn	telja
þeir	42	O	fpkfn	hann
að	42	O	c	að
orsakatengsl	42	O	nhfn	orsakatengsl
séu	42	O	svg3fn	vera
á	42	O	aa	á
milli	42	O	ae	milli
notkunar	42	O	nvee	notkun
stefnanda	42	O	nkee	stefnandi
á	42	O	aþ	á
hinum	42	O	ghfþ	hinn
hættulegu	42	O	lhfþvf	hættulegur
efnum	42	O	nhfþ	efni
í	42	O	aþ	í
Listaháskóla	42	B-Organization	nkeþ-s	Listaháskóli
íslands	42	I-Organization	nhee	ísland
og	42	O	c	og
þess	42	O	fahee	sá
líkamstjóns	42	O	nhee	líkamstjón
sem	42	O	ct	sem
hún	42	O	fpven	hún
hafi	42	O	svg3en	hafa
hlotið	42	O	ssg	hljóta
.	42	O	.	.

Telji	43	O	svg3fn	telja
þeir	43	O	fpkfn	hann
að	43	O	c	að
stefnandi	43	O	nken	stefnandi
hafi	43	O	svg3en	hafa
hlotið	43	O	ssg	hljóta
varanlegan	43	O	lkeosf	varanlegur
miska	43	O	nkeo	miski
15%	43	B-Percent	tp	15%
skv.	43	O	as	skv.
skaðabótalögum	43	O	nhfþ	skaðabótalög
nr.	43	O	as	nr.
50/1993	43	O	ta	50/1993
og	43	O	c	og
varanlega	43	O	lveosf	varanlegur
örorku	43	O	nveo	örorka
15%	43	B-Percent	tp	15%
skv.	43	O	as	skv.
